FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23c1,01-01-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23c0,01-01-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23bf,01-01-2018 00:00:00,3,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23be,01-01-2018 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,2,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23bd,01-01-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,1,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23bc,01-01-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23bb,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23ba,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b9,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b8,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,2,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b7,01-01-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,3,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b6,01-01-2019 00:00:00,2,Très bon,AtmoSud,commune,84007,Avignon,1,0,2,1,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b5,01-02-2018 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b4,01-02-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,2,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23b3,01-02-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,3,0,2,4,0,#8DA71E
